Timestamp,Temperature (°F)
2024-10-13 00:00:00,71.21
2024-10-13 00:01:00,71.57
2024-10-13 00:02:00,70.75
2024-10-13 00:03:00,71.68
2024-10-13 00:04:00,69.37
2024-10-13 00:05:00,72.32
2024-10-13 00:06:00,70.71
2024-10-13 00:07:00,69.3
2024-10-13 00:08:00,72.04
2024-10-13 00:09:00,72.86
2024-10-13 00:10:00,71.01
2024-10-13 00:11:00,71.14
2024-10-13 00:12:00,71.57
2024-10-13 00:13:00,69.56
2024-10-13 00:14:00,70.77
2024-10-13 00:15:00,69.71
2024-10-13 00:16:00,70.52
2024-10-13 00:17:00,69.3
2024-10-13 00:18:00,70.27
2024-10-13 00:19:00,69.52
2024-10-13 00:20:00,69.18
2024-10-13 00:21:00,70.58
2024-10-13 00:22:00,71.64
2024-10-13 00:23:00,69.64
2024-10-13 00:24:00,72.45
2024-10-13 00:25:00,69.66
2024-10-13 00:26:00,69.26
2024-10-13 00:27:00,70.94
2024-10-13 00:28:00,70.22
2024-10-13 00:29:00,70.03
2024-10-13 00:30:00,71.82
2024-10-13 00:31:00,71.92
2024-10-13 00:32:00,71.95
2024-10-13 00:33:00,69.93
2024-10-13 00:34:00,72.56
2024-10-13 00:35:00,69.25
2024-10-13 00:36:00,71.01
2024-10-13 00:37:00,72.02
2024-10-13 00:38:00,72.11
2024-10-13 00:39:00,71.34
2024-10-13 00:40:00,69.36
2024-10-13 00:41:00,71.94
2024-10-13 00:42:00,72.84
2024-10-13 00:43:00,70.15
2024-10-13 00:44:00,70.86
2024-10-13 00:45:00,70.24
2024-10-13 00:46:00,70.14
2024-10-13 00:47:00,71.41
2024-10-13 00:48:00,71.51
2024-10-13 00:49:00,72.36
2024-10-13 00:50:00,70.53
2024-10-13 00:51:00,71.53
2024-10-13 00:52:00,71.27
2024-10-13 00:53:00,72.84
2024-10-13 00:54:00,69.98
2024-10-13 00:55:00,70.92
2024-10-13 00:56:00,70.29
2024-10-13 00:57:00,69.77
